20270;01140203700001;01140203700001;YSUR;LdS.x-1;YPF.Nq.LdS.x-1;GL;725.0;1753.5;2440076.74187855;5657146.2907127;Loma del Sueno;Neuquen;N/D;AMERICAS PETROGAS;1984-01-01;1;TOTORAL;Neuquen;YSUR;Projection unknown. Data from JAC;AMERICAS PETROGAS
30580;PLU.Nq.Ce-1516(d);PLU.Nq.Ce-1516(d);SEN;Ce-1516(d);PLU.Nq.Ce-1516(d);GL;273.99;3088.0;2566791.88664764;5690559.65695255;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2015-12-19;1516(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156209;UNKNOWN
30582;PLU.Nq.Ce-1533(d);PLU.Nq.Ce-1533(d);SEN;Ce-1533(d);PLU.Nq.Ce-1533(d);GL;289.62;3156.0;2562030.41410198;5693658.68140021;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-05-19;1533(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156919;UNKNOWN
30583;PLU.Nq.Ce-1534;PLU.Nq.Ce-1534;SEN;Ce-1534;PLU.Nq.Ce-1534;GL;291.1;3189.1;2562033.8806063;5693669.31237152;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2015-11-25;1534;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 155749;UNKNOWN
30585;PLU.Nq.Ce-1535(d);PLU.Nq.Ce-1535(d);SEN;Ce-1535(d);PLU.Nq.Ce-1535(d);GL;355.71;3320.0;2563309.22440029;5692636.24727973;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2015-10-09;1535(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 155717;UNKNOWN
30591;PLU.Nq.Ce-1539;PLU.Nq.Ce-1539;SEN;Ce-1539;PLU.Nq.Ce-1539;GL;309.83;3260.0;2563046.12183719;5693318.2520181;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-03-18;1539;;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156646;UNKNOWN
30602;PLU.Nq.Ce-1559(d);PLU.Nq.Ce-1559(d);SEN;Ce-1559(d);PLU.Nq.Ce-1559(d);GL;360.86;3488.0;2566947.74490165;5693483.37860978;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-03-16;1559(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158102;UNKNOWN
30592;PLU.Nq.Ce-1540(d);PLU.Nq.Ce-1540(d);SEN;Ce-1540(d);PLU.Nq.Ce-1540(d);GL;290.83;3166.0;2562035.05786796;5693675.63141665;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-08-09;1540(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157206;UNKNOWN
30593;PLU.Nq.Ce-1545(d);PLU.Nq.Ce-1545(d);SEN;Ce-1545(d);PLU.Nq.Ce-1545(d);GL;361.91;3318.5;2567755.8979693;5692593.63561053;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-09-04;1545(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157253;UNKNOWN
30595;PLU.Nq.Ce-1557(d);PLU.Nq.Ce-1557(d);SEN;Ce-1557(d);PLU.Nq.Ce-1557(d);GL;360.63;3365.0;2567559.23866612;5692783.72562862;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-06-10;1557(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 156920;UNKNOWN
30603;PLU.Nq.Ce-1560(d);PLU.Nq.Ce-1560(d);SEN;Ce-1560(d);PLU.Nq.Ce-1560(d);GL;358.17;3404.0;2567761.08968063;5693199.7830548;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2016-07-07;1560(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 157124;UNKNOWN
30604;PLU.Nq.Ce-1558(d);PLU.Nq.Ce-1558(d);SEN;Ce-1558(d);PLU.Nq.Ce-1558(d);GL;358.68;3486.5;2567313.96358219;5693245.455907;CENTENARIO CENTRO;NEUQUEN;UNKNOWN;PLUSPETROL S.A;2017-11-15;1558(d);;NEUQUINA;GIT;Pozos Obtenidos desde Secretaria de Energia 158934;UNKNOWN
